ABAP,ASP,Assembly,C#,C++,CMake,CSS,Clojure,CoffeeScript,ColdFusion,Delphi,FreeMarker,GLSL,Go,Groovy,HTML,Handlebars,Java,JavaScript,Kotlin,Lua,Nginx,Objective-C,PHP,Perl,PowerShell,Puppet,Python,Ruby,SQL,Smarty,Swift,TypeScript,Visual Basic,XML,XSLT,Salary
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.651271477929782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93119.39227971455
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9576977276740575,0.0,0.0,0.0,0.0,6.07008801731686,0.0,0.0,0.0,0.0,6.272346236737647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100281.95422298176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.910760514166875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50824.34654563316
0.0,0.0,0.0,0.0,0.0,0.0,6.280551109482503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.171873694947109,0.0,0.0,6.273033448829815,0.0,0.0,0.0,0.0,6.171873694947109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15626.186064486907
0.0,0.0,0.0,0.0,0.0,0.0,6.775590003664105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.794806231456003,0.0,0.0,6.667206340820056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7107620206320515,6.7431119410094045,0.0,0.0,0.0,0.0,0.0,0.0,95351.76221293474
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9442655010199505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15372.955698007721
0.0,0.0,0.0,0.0,0.0,0.0,7.558152878233185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.556586136775482,0.0,0.0,7.556586136775482,0.0,0.0,0.0,0.0,7.583401506362135,0.0,0.0,0.0,0.0,0.0,7.570083701881711,0.0,0.0,0.0,0.0,7.575226945559002,0.0,14881.595111524166
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.357267124721309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40359.449264696
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5398828106818305,0.0,0.0,0.0,0.0,0.0,0.0,7.575384379046401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100049.77713532622
0.0,0.0,0.0,7.960245701691488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.929766090615289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53560.23504458182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.747774449848927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61598.65233696661
0.0,0.0,0.0,0.0,0.0,0.0,7.644011888837392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.677448728088136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161446.38120062937
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.689054648096391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116692.87320235383
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66772947089016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40295.55282926057
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.587582501730334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67911.65612774574
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27006.292045809605
0.0,0.0,0.0,0.0,0.0,0.0,7.015836263019075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9048891446639695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65427.652029227276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.064269709156593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77065.11999086567
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.668870744340605,0.0,0.0,6.747006319531694,0.0,0.0,0.0,0.0,6.72203492091759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28412.410108807737
0.0,0.0,0.0,7.583957431359309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111438.81276456703
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.725603758884061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98980.19684153546
0.0,0.0,0.0,0.0,0.0,0.0,7.6697641382283095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.671163342567175,0.0,0.0,7.659914503673574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.733497929144141,0.0,7.6978367896396,0.0,0.0,0.0,0.0,0.0,0.0,187279.27818345878
0.0,0.0,0.0,0.0,0.0,0.0,7.123378065646867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194162269051737,0.0,0.0,7.159785023412279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.195663056150649,0.0,7.198657890117516,0.0,0.0,0.0,0.0,0.0,0.0,187338.78343970363
0.0,0.0,0.0,6.812620156056628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.716897470607142,0.0,0.0,6.7959854515395515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.705945125920416,0.0,0.0,0.0,0.0,0.0,0.0,53984.711060425354
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8384793491524265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31582.624521603066
0.0,0.0,0.0,0.0,0.0,0.0,6.043529133351117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.237108087148086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109240.78226424551
0.0,0.0,0.0,0.0,0.0,0.0,7.211626629396032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.213101452905097,0.0,0.0,7.199002024805789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16014279657557,0.0,7.149205996812097,0.0,0.0,0.0,0.0,0.0,0.0,124994.92648127387
0.0,0.0,0.0,0.0,0.0,0.0,7.165571299601935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.082633124029764,0.0,0.0,7.168657481985334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08011126810991,0.0,7.120525782882064,0.0,0.0,0.0,0.0,0.0,0.0,125089.8395188688
0.0,0.0,0.0,0.0,0.0,0.0,6.891729186125747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.962339711241766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38187.10139514584
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4763307775279015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84811.57998061244
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.740556097247169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82345.17672051309
0.0,0.0,0.0,0.0,0.0,0.0,6.573450836891589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.523321188238803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69318.97703210481
0.0,0.0,0.0,7.267359769363279,7.205458940452199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.266661573362823,0.0,0.0,0.0,0.0,7.1980060228819625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72915.15347358742
0.0,0.0,0.0,0.0,0.0,0.0,6.552315966194759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.626539556420821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4721383538729045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192198575.0148612
0.0,0.0,0.0,6.880317706567224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68673.81507815348
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.768385284435984,0.0,0.0,0.0,0.0,6.770681744249141,0.0,0.0,0.0,0.0,0.0,6.651450559244126,0.0,0.0,0.0,0.0,0.0,0.0,69431.43542265554
